eventID,thickness_um,bn_wt,zns_wt,capture_x_um,capture_y_um,corr_x_um,corr_y_um,depth_um
1,400,1,2,-4995.53,-1632.19,0,0,99.9881
4,400,1,2,-1172.65,-617.018,0,0,204.232
5,400,1,2,-4493.21,-326.755,0,0,86.1618
6,400,1,2,-2498.21,-3561.35,0,0,247.763
11,400,1,2,3417.37,-816.533,0,0,195.553
15,400,1,2,870.589,3225.86,0,0,18.4534
19,400,1,2,1681.28,3426.1,0,0,367.769
25,400,1,2,2303.98,2399.14,0,0,94.3119
31,400,1,2,-414.804,-4008.96,0,0,52.082
33,400,1,2,-3556.96,4232.31,0,0,264.098
36,400,1,2,1525.57,3504.61,0,0,94.8235
43,400,1,2,-4337.57,-1078.76,0,0,9.03816
49,400,1,2,4085.5,373.769,0,0,17.152
51,400,1,2,-988.776,1284.68,0,0,82.4661
52,400,1,2,2811.2,-1947.84,0,0,7.16216
56,400,1,2,-2586.22,-1503.14,0,0,266.216
70,400,1,2,730.747,-2608.34,0,0,87.6151
77,400,1,2,395.187,-2767.96,0,0,397.686
82,400,1,2,-2161.2,3645.45,0,0,224.683
83,400,1,2,-4454.74,697.072,0,0,73.3956
84,400,1,2,2830.66,1919.78,0,0,250.485
85,400,1,2,1570.6,896.821,0,0,346.354
89,400,1,2,633.485,-1707.16,0,0,396.577
95,400,1,2,863.956,-2769.57,0,0,265.574
101,400,1,2,-2364.17,-4684.63,-394.128,173.21,41.8859
104,400,1,2,-872.481,2755.4,0,0,152.693
106,400,1,2,2763.29,-1043.93,0,0,397.64
107,400,1,2,-115.545,3060.39,0,0,91.5113
108,400,1,2,531.785,3795.71,0,0,272.07
109,400,1,2,-4790.39,-91.1559,0,0,143.307
115,400,1,2,4621.51,-2553.87,0,0,2.3708
117,400,1,2,-4952.67,-2465.74,0,0,31.4946
122,400,1,2,-1468.92,4145.94,0,0,267.619
127,400,1,2,-100.893,-1809.5,2319.94,-4145.42,292.047
128,400,1,2,4001.95,-4168.83,0,0,65.2223
130,400,1,2,-1519.79,-4116.35,0,0,206.332
131,400,1,2,2009.3,413.276,0,0,123.131
133,400,1,2,2359.51,-4942.54,0,0,203.048
137,400,1,2,2089.86,-3348.15,0,0,336.361
140,400,1,2,-4497.88,-4111.86,0,0,130.815
141,400,1,2,-4102.02,4758.97,0,0,31.8126
149,400,1,2,-2236.35,-1055.02,0,0,106.991
152,400,1,2,-3679.53,4384.57,0,0,60.1937
161,400,1,2,639.714,1445.31,0,0,104.436
163,400,1,2,3735.46,1307.02,0,0,124.42
171,400,1,2,4738.3,1495.25,0,0,369.769
172,400,1,2,3797.85,1351.47,0,0,353.346
177,400,1,2,-1280.12,-1782.52,0,0,41.4797
182,400,1,2,2147.1,-3537.15,0,0,188.4
191,400,1,2,-4355.31,1240.53,0,0,19.2236
196,400,1,2,-3936.65,-781.343,0,0,62.5678
203,400,1,2,-1835.12,-1813,0,0,70.5108
213,400,1,2,-3712.57,4778.98,0,0,257.747
216,400,1,2,1377.55,-1078.61,0,0,313.018
217,400,1,2,1313.55,-336.878,0,0,79.4281
226,400,1,2,1474.11,-4822.54,0,0,339.847
227,400,1,2,713.525,2444.91,0,0,67.6367
228,400,1,2,-418.874,2192.37,0,0,112.38
232,400,1,2,-3350.22,120.325,0,0,203.982
235,400,1,2,-2190.15,-237.333,0,0,210.809
240,400,1,2,-2578.82,-2584.29,0,0,275.23
243,400,1,2,-3713.29,-494.541,0,0,317.366
248,400,1,2,-4982.03,-3465.21,0,0,191.867
249,400,1,2,-816.818,1162.37,0,0,72.3559
251,400,1,2,-2760.87,-2020.49,0,0,61.5818
252,400,1,2,4164.21,-4837.79,0,0,197.933
253,400,1,2,-3473.76,764.267,0,0,30.9875
254,400,1,2,4189.4,-2417.34,0,0,59.4736
258,400,1,2,1653.38,-4693.67,0,0,274.303
263,400,1,2,2614.9,-3554.2,0,0,220.745
279,400,1,2,-3529.46,-291.547,0,0,312.424
285,400,1,2,1326.21,-4719.09,0,0,18.5078
287,400,1,2,1807.21,-4776.43,0,0,216.928
292,400,1,2,-3830.56,-4690.25,0,0,310.66
299,400,1,2,1103.37,4554.37,0,0,139.269
303,400,1,2,-2912.67,-1988.98,0,0,283.048
304,400,1,2,-2959.27,-4003.45,0,0,131.72
306,400,1,2,1491.42,-3160.42,0,0,161.017
308,400,1,2,2608.33,4437.74,0,0,42.6786
309,400,1,2,2498.58,4735.99,0,0,169.642
312,400,1,2,-4491.35,-2557.71,0,0,35.1084
321,400,1,2,-2230.65,-3050.46,0,0,197.887
323,400,1,2,813.056,4926.69,0,0,24.1619
324,400,1,2,2264.09,3870.97,0,0,335.548
325,400,1,2,-340.051,-3563.3,0,0,218.008
330,400,1,2,-1368.71,1868.72,0,0,28.3195
331,400,1,2,-385.7,104.639,0,0,51.346
333,400,1,2,3979.37,-4855.14,0,0,294.546
338,400,1,2,3889.44,1915.49,0,0,282.494
341,400,1,2,-1813.1,-2318.11,0,0,367.056
342,400,1,2,2959.8,2129.55,0,0,225.427
345,400,1,2,3580.89,2992.57,0,0,292.486
346,400,1,2,-4005.9,1047.24,0,0,271.559
347,400,1,2,638.745,-595.398,0,0,61.8099
349,400,1,2,-4549.94,-3333.35,0,0,351.614
352,400,1,2,-2513.58,2243.57,0,0,355.08
355,400,1,2,692.56,183.708,0,0,211.72
359,400,1,2,3848.6,4207.48,0,0,71.3475
362,400,1,2,3657.4,-3034.35,0,0,76.177
364,400,1,2,3318.71,2874.74,0,0,374.007
365,400,1,2,-2773.83,-4805.97,0,0,233.839
368,400,1,2,-3611.44,1869.79,0,0,135.515
373,400,1,2,2670.26,-2450.61,0,0,77.4868
375,400,1,2,-4320.4,156.283,0,0,359.823
379,400,1,2,-1092.07,-4313.51,0,0,329.356
380,400,1,2,-1327.79,-3797.34,0,0,47.3286
382,400,1,2,4395.06,-4742.5,0,0,187.116
387,400,1,2,2139.15,-2237.75,0,0,64.3192
388,400,1,2,2178.42,3681.83,0,0,298.259
392,400,1,2,3394.05,-1602.26,-92.512,94.9019,132.555
394,400,1,2,-1741.96,479.122,0,0,61.4978
399,400,1,2,4256.98,3276.59,0,0,306.857
403,400,1,2,1486.24,-1401.85,0,0,24.3447
405,400,1,2,-1390.98,2296.53,0,0,276.395
408,400,1,2,-3177.02,-2397.82,0,0,376.06
409,400,1,2,4762.09,2864.78,0,0,145.862
411,400,1,2,110.041,3456.22,0,0,188.322
