eventID,thickness_um,bn_wt,zns_wt,capture_x_um,capture_y_um,corr_x_um,corr_y_um,depth_um,surface_mode,target_local_z_um,used_local_z_um,bn_center_x_um,bn_center_y_um,bn_center_z_um,trackID,stepID,particle,phase_pre,phase_post,x_pre_um,y_pre_um,z_pre_um,x_post_um,y_post_um,z_post_um,step_len_um,edep_keV,ekin_pre_keV,ekin_post_keV
0,400,25,75,2161.53,-2000.9,0,0,288.723,bulk,-8.34529,-8.34529,16.2047,-10.585,-7.36833,2,1,Li7,BN,binder_void,14.4399,-11.3618,-8.34529,14.2682,-11.8083,-8.37012,0.479199,297.313,840,542.687
0,400,25,75,2161.53,-2000.9,0,0,288.723,bulk,-8.34529,-8.34529,16.2047,-10.585,-7.36833,2,2,Li7,binder_void,ZnS,14.2682,-11.8083,-8.37012,13.669,-13.4599,-8.45105,1.76171,279.852,542.687,262.834
0,400,25,75,2161.53,-2000.9,0,0,288.723,bulk,-8.34529,-8.34529,16.2047,-10.585,-7.36833,2,3,Li7,ZnS,ZnS,13.669,-13.4599,-8.45105,13.2621,-14.5629,-8.35904,1.27943,262.834,262.834,0
0,400,25,75,2161.53,-2000.9,0,0,288.723,bulk,-8.34529,-8.34529,16.2047,-10.585,-7.36833,2,4,Li7,ZnS,ZnS,13.2621,-14.5629,-8.35904,13.2621,-14.5629,-8.35904,0,0,0,0
0,400,25,75,2161.53,-2000.9,0,0,288.723,bulk,-8.34529,-8.34529,16.2047,-10.585,-7.36833,1,1,alpha,BN,binder_void,14.4399,-11.3618,-8.34529,15.621,-8.29166,-8.17453,3.29608,1240.11,1470,229.89
0,400,25,75,2161.53,-2000.9,0,0,288.723,bulk,-8.34529,-8.34529,16.2047,-10.585,-7.36833,1,2,alpha,binder_void,BN,15.621,-8.29166,-8.17453,15.8444,-7.69299,-8.13122,0.641211,98.1269,229.89,131.763
0,400,25,75,2161.53,-2000.9,0,0,288.723,bulk,-8.34529,-8.34529,16.2047,-10.585,-7.36833,1,3,alpha,BN,BN,15.8444,-7.69299,-8.13122,16.121,-6.90148,-8.08607,0.856305,131.763,131.763,0
1,400,25,75,3548.4,2893.68,0,0,213.102,bulk,-8.04385,-8.04385,-3.95799,-12.0243,-9.95782,2,1,Li7,BN,BN,-2.56962,-11.482,-8.04385,-3.17451,-10.5736,-8.92374,1.40305,652.687,840,187.313
1,400,25,75,3548.4,2893.68,0,0,213.102,bulk,-8.04385,-8.04385,-3.95799,-12.0243,-9.95782,2,2,Li7,BN,BN,-3.17451,-10.5736,-8.92374,-3.48246,-9.87348,-9.51982,0.995588,187.313,187.313,0
1,400,25,75,3548.4,2893.68,0,0,213.102,bulk,-8.04385,-8.04385,-3.95799,-12.0243,-9.95782,2,3,Li7,BN,BN,-3.48246,-9.87348,-9.51982,-3.48246,-9.87348,-9.51982,0,0,0,0
1,400,25,75,3548.4,2893.68,0,0,213.102,bulk,-8.04385,-8.04385,-3.95799,-12.0243,-9.95782,1,1,alpha,BN,binder_void,-2.56962,-11.482,-8.04385,-2.51682,-11.5528,-7.97019,0.115024,47.5215,1470,1422.48
1,400,25,75,3548.4,2893.68,0,0,213.102,bulk,-8.04385,-8.04385,-3.95799,-12.0243,-9.95782,1,2,alpha,binder_void,ZnS,-2.51682,-11.5528,-7.97019,0.957668,-16.2227,-3.09404,7.5984,1247.51,1422.48,174.965
1,400,25,75,3548.4,2893.68,0,0,213.102,bulk,-8.04385,-8.04385,-3.95799,-12.0243,-9.95782,1,3,alpha,ZnS,ZnS,0.957668,-16.2227,-3.09404,1.22292,-16.704,-2.64699,0.734006,174.965,174.965,0
2,400,25,75,3375.26,-1362.67,0,0,155.682,bulk,-8.37908,-8.37908,8.32932,6.42871,-9.69164,2,1,Li7,BN,binder_void,7.47676,5.19037,-8.37908,6.56303,5.10114,-8.52213,0.930063,500.534,840,339.466
2,400,25,75,3375.26,-1362.67,0,0,155.682,bulk,-8.37908,-8.37908,8.32932,6.42871,-9.69164,2,2,Li7,binder_void,ZnS,6.56303,5.10114,-8.52213,5.59111,5.05628,-8.68764,0.988939,121.701,339.466,217.765
2,400,25,75,3375.26,-1362.67,0,0,155.682,bulk,-8.37908,-8.37908,8.32932,6.42871,-9.69164,2,3,Li7,ZnS,binder_void,5.59111,5.05628,-8.68764,5.30048,5.08837,-8.7474,0.304547,126.559,217.765,91.2063
2,400,25,75,3375.26,-1362.67,0,0,155.682,bulk,-8.37908,-8.37908,8.32932,6.42871,-9.69164,2,4,Li7,binder_void,binder_void,5.30048,5.08837,-8.7474,3.94208,5.29337,-8.94094,1.44675,91.2063,91.2063,0
2,400,25,75,3375.26,-1362.67,0,0,155.682,bulk,-8.37908,-8.37908,8.32932,6.42871,-9.69164,2,5,Li7,binder_void,binder_void,3.94208,5.29337,-8.94094,3.94208,5.29337,-8.94094,0,0,0,0
2,400,25,75,3375.26,-1362.67,0,0,155.682,bulk,-8.37908,-8.37908,8.32932,6.42871,-9.69164,1,1,alpha,BN,binder_void,7.47676,5.19037,-8.37908,9.87594,5.42466,-8.00349,2.44069,971.85,1470,498.15
2,400,25,75,3375.26,-1362.67,0,0,155.682,bulk,-8.37908,-8.37908,8.32932,6.42871,-9.69164,1,2,alpha,binder_void,binder_void,9.87594,5.42466,-8.00349,13.6657,5.70737,-7.33166,3.87079,498.15,498.15,0
3,400,25,75,4181.4,-770.364,0,0,141.403,bulk,-8.44142,-8.44142,15.847,-5.23405,-7.68001,2,1,Li7,BN,binder_void,14.8182,-7.04122,-8.44142,14.949,-7.39802,-8.55226,0.395971,252.505,840,587.495
3,400,25,75,4181.4,-770.364,0,0,141.403,bulk,-8.44142,-8.44142,15.847,-5.23405,-7.68001,2,2,Li7,binder_void,BN,14.949,-7.39802,-8.55226,15.4645,-8.79641,-8.95045,1.54454,259.248,587.495,328.247
3,400,25,75,4181.4,-770.364,0,0,141.403,bulk,-8.44142,-8.44142,15.847,-5.23405,-7.68001,2,3,Li7,BN,BN,15.4645,-8.79641,-8.95045,15.6178,-9.89399,-9.24296,1.15156,328.247,328.247,0
3,400,25,75,4181.4,-770.364,0,0,141.403,bulk,-8.44142,-8.44142,15.847,-5.23405,-7.68001,2,4,Li7,BN,BN,15.6178,-9.89399,-9.24296,15.6178,-9.89399,-9.24296,0,0,0,0
3,400,25,75,4181.4,-770.364,0,0,141.403,bulk,-8.44142,-8.44142,15.847,-5.23405,-7.68001,1,1,alpha,BN,binder_void,14.8182,-7.04122,-8.44142,13.695,-3.97611,-7.48923,3.40281,1441.95,1470,28.0521
3,400,25,75,4181.4,-770.364,0,0,141.403,bulk,-8.44142,-8.44142,15.847,-5.23405,-7.68001,1,2,alpha,binder_void,BN,13.695,-3.97611,-7.48923,13.5684,-3.58691,-7.37274,0.446154,5.79503,28.0521,22.257
3,400,25,75,4181.4,-770.364,0,0,141.403,bulk,-8.44142,-8.44142,15.847,-5.23405,-7.68001,1,3,alpha,BN,BN,13.5684,-3.58691,-7.37274,13.452,-3.34648,-7.3952,0.284554,14.745,22.257,7.51207
3,400,25,75,4181.4,-770.364,0,0,141.403,bulk,-8.44142,-8.44142,15.847,-5.23405,-7.68001,1,4,alpha,BN,BN,13.452,-3.34648,-7.3952,13.4111,-3.40023,-7.47055,0.190414,7.51207,7.51207,0
4,400,25,75,-1726.15,1934.86,0,0,219.825,bulk,-7.8648,-7.8648,-6.41512,10.8185,-5.70554,2,1,Li7,BN,binder_void,-6.38338,10.249,-7.8648,-6.5521,10.8933,-8.20066,0.746458,437.27,840,402.73
4,400,25,75,-1726.15,1934.86,0,0,219.825,bulk,-7.8648,-7.8648,-6.41512,10.8185,-5.70554,2,2,Li7,binder_void,ZnS,-6.5521,10.8933,-8.20066,-6.70673,11.4815,-8.50568,0.680981,101.727,402.73,301.003
4,400,25,75,-1726.15,1934.86,0,0,219.825,bulk,-7.8648,-7.8648,-6.41512,10.8185,-5.70554,2,3,Li7,ZnS,ZnS,-6.70673,11.4815,-8.50568,-7.24417,12.6561,-8.96021,1.42988,301.003,301.003,0
4,400,25,75,-1726.15,1934.86,0,0,219.825,bulk,-7.8648,-7.8648,-6.41512,10.8185,-5.70554,2,4,Li7,ZnS,ZnS,-7.24417,12.6561,-8.96021,-7.24417,12.6561,-8.96021,0,0,0,0
