placement_file,placement_basename,seedBase,run_mode,patch_xy_um,micro_thickness_um,bn_wt,zns_wt,incident_count,capture_count,total_track_length_um,sigma_eff_per_um,sigma_eff_per_cm,capture_probability
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0001.csv","placement_f_0.64_0001.csv",1819766625,StageA_NeutronPatch,50,30,1,1.5,100000,4403,2.93499e+06,0.00150018,15.0018,0.04403
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0002.csv","placement_f_0.64_0002.csv",1813364110,StageA_NeutronPatch,50,30,1,1.5,100000,4380,2.93464e+06,0.00149252,14.9252,0.0438
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0003.csv","placement_f_0.64_0003.csv",1822391127,StageA_NeutronPatch,50,30,1,1.5,100000,4361,2.93516e+06,0.00148578,14.8578,0.04361
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0004.csv","placement_f_0.64_0004.csv",961250306,StageA_NeutronPatch,50,30,1,1.5,100000,4566,2.93256e+06,0.001557,15.57,0.04566
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0005.csv","placement_f_0.64_0005.csv",1552224254,StageA_NeutronPatch,50,30,1,1.5,100000,4504,2.93409e+06,0.00153506,15.3506,0.04504
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0006.csv","placement_f_0.64_0006.csv",1207391900,StageA_NeutronPatch,50,30,1,1.5,100000,4321,2.93499e+06,0.00147224,14.7224,0.04321
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0007.csv","placement_f_0.64_0007.csv",324726295,StageA_NeutronPatch,50,30,1,1.5,100000,4458,2.9335e+06,0.00151969,15.1969,0.04458
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0008.csv","placement_f_0.64_0008.csv",1156881953,StageA_NeutronPatch,50,30,1,1.5,100000,4387,2.93504e+06,0.0014947,14.947,0.04387
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0009.csv","placement_f_0.64_0009.csv",1095440877,StageA_NeutronPatch,50,30,1,1.5,100000,4464,2.93466e+06,0.00152113,15.2113,0.04464
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0010.csv","placement_f_0.64_0010.csv",795174786,StageA_NeutronPatch,50,30,1,1.5,100000,4461,2.93414e+06,0.00152038,15.2038,0.04461
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0011.csv","placement_f_0.64_0011.csv",579559873,StageA_NeutronPatch,50,30,1,1.5,100000,4455,2.93327e+06,0.00151878,15.1878,0.04455
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0012.csv","placement_f_0.64_0012.csv",136308127,StageA_NeutronPatch,50,30,1,1.5,100000,4254,2.93755e+06,0.00144814,14.4814,0.04254
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0013.csv","placement_f_0.64_0013.csv",1843991259,StageA_NeutronPatch,50,30,1,1.5,100000,4397,2.93474e+06,0.00149826,14.9826,0.04397
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0014.csv","placement_f_0.64_0014.csv",1616060217,StageA_NeutronPatch,50,30,1,1.5,100000,4346,2.93496e+06,0.00148077,14.8077,0.04346
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0015.csv","placement_f_0.64_0015.csv",1601742499,StageA_NeutronPatch,50,30,1,1.5,100000,4441,2.93499e+06,0.00151312,15.1312,0.04441
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0016.csv","placement_f_0.64_0016.csv",1316548881,StageA_NeutronPatch,50,30,1,1.5,100000,4464,2.93298e+06,0.001522,15.22,0.04464
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0017.csv","placement_f_0.64_0017.csv",541308230,StageA_NeutronPatch,50,30,1,1.5,100000,4466,2.93207e+06,0.00152316,15.2316,0.04466
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0018.csv","placement_f_0.64_0018.csv",1849358003,StageA_NeutronPatch,50,30,1,1.5,100000,4461,2.9345e+06,0.00152019,15.2019,0.04461
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0019.csv","placement_f_0.64_0019.csv",746952824,StageA_NeutronPatch,50,30,1,1.5,100000,4598,2.92997e+06,0.0015693,15.693,0.04598
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0020.csv","placement_f_0.64_0020.csv",1772647328,StageA_NeutronPatch,50,30,1,1.5,100000,4539,2.93225e+06,0.00154796,15.4796,0.04539
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0021.csv","placement_f_0.64_0021.csv",1261133512,StageA_NeutronPatch,50,30,1,1.5,100000,4476,2.93375e+06,0.00152569,15.2569,0.04476
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0022.csv","placement_f_0.64_0022.csv",93012958,StageA_NeutronPatch,50,30,1,1.5,100000,4514,2.93335e+06,0.00153886,15.3886,0.04514
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0023.csv","placement_f_0.64_0023.csv",1525884060,StageA_NeutronPatch,50,30,1,1.5,100000,4420,2.93614e+06,0.00150538,15.0538,0.0442
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0024.csv","placement_f_0.64_0024.csv",107020137,StageA_NeutronPatch,50,30,1,1.5,100000,4531,2.93242e+06,0.00154514,15.4514,0.04531
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0025.csv","placement_f_0.64_0025.csv",736208095,StageA_NeutronPatch,50,30,1,1.5,100000,4457,2.93294e+06,0.00151964,15.1964,0.04457
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0026.csv","placement_f_0.64_0026.csv",1092207484,StageA_NeutronPatch,50,30,1,1.5,100000,4499,2.93269e+06,0.00153408,15.3408,0.04499
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0027.csv","placement_f_0.64_0027.csv",2118359389,StageA_NeutronPatch,50,30,1,1.5,100000,4441,2.93529e+06,0.00151297,15.1297,0.04441
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0028.csv","placement_f_0.64_0028.csv",2119135791,StageA_NeutronPatch,50,30,1,1.5,100000,4418,2.93326e+06,0.00150618,15.0618,0.04418
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0029.csv","placement_f_0.64_0029.csv",690580681,StageA_NeutronPatch,50,30,1,1.5,100000,4393,2.93513e+06,0.0014967,14.967,0.04393
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0030.csv","placement_f_0.64_0030.csv",120916119,StageA_NeutronPatch,50,30,1,1.5,100000,4517,2.93107e+06,0.00154108,15.4108,0.04517
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0031.csv","placement_f_0.64_0031.csv",512037874,StageA_NeutronPatch,50,30,1,1.5,100000,4290,2.9354e+06,0.00146147,14.6147,0.0429
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0032.csv","placement_f_0.64_0032.csv",1213781414,StageA_NeutronPatch,50,30,1,1.5,100000,4458,2.93317e+06,0.00151986,15.1986,0.04458
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0033.csv","placement_f_0.64_0033.csv",1255627365,StageA_NeutronPatch,50,30,1,1.5,100000,4521,2.93246e+06,0.00154171,15.4171,0.04521
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0034.csv","placement_f_0.64_0034.csv",278212815,StageA_NeutronPatch,50,30,1,1.5,100000,4420,2.93365e+06,0.00150665,15.0665,0.0442
