placement_file,placement_basename,seedBase,run_mode,patch_xy_um,micro_thickness_um,bn_wt,zns_wt,incident_count,capture_count,total_track_length_um,sigma_eff_per_um,sigma_eff_per_cm,capture_probability
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0001.csv","placement_f_0.64_0001.csv",1154321519,StageA_NeutronPatch,50,30,2,1,100000,6054,2.91105e+06,0.00207966,20.7966,0.06054
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0002.csv","placement_f_0.64_0002.csv",508710722,StageA_NeutronPatch,50,30,2,1,100000,6141,2.90672e+06,0.00211269,21.1269,0.06141
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0003.csv","placement_f_0.64_0003.csv",1857161904,StageA_NeutronPatch,50,30,2,1,100000,6204,2.90666e+06,0.00213441,21.3441,0.06204
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0004.csv","placement_f_0.64_0004.csv",622244712,StageA_NeutronPatch,50,30,2,1,100000,6110,2.9073e+06,0.00210161,21.0161,0.0611
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0005.csv","placement_f_0.64_0005.csv",1744548760,StageA_NeutronPatch,50,30,2,1,100000,6143,2.90628e+06,0.0021137,21.137,0.06143
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0006.csv","placement_f_0.64_0006.csv",2024781157,StageA_NeutronPatch,50,30,2,1,100000,6075,2.91118e+06,0.00208678,20.8678,0.06075
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0007.csv","placement_f_0.64_0007.csv",949929545,StageA_NeutronPatch,50,30,2,1,100000,6277,2.90431e+06,0.00216127,21.6127,0.06277
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0008.csv","placement_f_0.64_0008.csv",437538553,StageA_NeutronPatch,50,30,2,1,100000,6110,2.90706e+06,0.00210178,21.0178,0.0611
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0009.csv","placement_f_0.64_0009.csv",351102573,StageA_NeutronPatch,50,30,2,1,100000,6138,2.90766e+06,0.00211097,21.1097,0.06138
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0010.csv","placement_f_0.64_0010.csv",882376936,StageA_NeutronPatch,50,30,2,1,100000,6086,2.90738e+06,0.00209329,20.9329,0.06086
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0011.csv","placement_f_0.64_0011.csv",849287110,StageA_NeutronPatch,50,30,2,1,100000,6146,2.90688e+06,0.00211429,21.1429,0.06146
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0012.csv","placement_f_0.64_0012.csv",2130914381,StageA_NeutronPatch,50,30,2,1,100000,6211,2.90685e+06,0.00213667,21.3667,0.06211
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0013.csv","placement_f_0.64_0013.csv",1662489509,StageA_NeutronPatch,50,30,2,1,100000,6006,2.90958e+06,0.00206421,20.6421,0.06006
